statements,undef_definition,alias_definition,require_definition,BEGIN_statement,END_statement,Expression,return_expression,yield_expression,iterator,block_var,block_vars,statement_modifier,modifier,rescue_statement,ensure_statement,return_statement,primary,reference,yield_statement,if_statement,unless_statement,while_statement,until_statement,case_statement,for_statement,class_definition,module_definition,method_definition,command,class_inheritance,literal,string_literal,numeric_literal,symbol_literal,array_literal,regular_expression,command_output,here_document,variable,identifier,varname,global_id,instance_id,operation,function_call,paren_call_args,call_args,binary_op,unary_op,Include statement,Respond To statement,Method Missing statement,Define Method statement,Attr Reader statement,Attr Writer statement,Attr Accessor statement,Instance Variable Get statement,Instance Variable Set statement,Class Variable Get statement,Class Variable Set statement,Const Get statement,Const Set statement,Eval statement,Class Eval statement,Module Eval statement,Instance Eval statement,Instance Exec statement,Send statement
2,0,0,0,0,0,2,0,0,1,1,1,0,0,0,0,0,1,4,0,0,0,0,0,0,0,0,0,0,2,0,0,0,0,0,0,0,0,0,5,7,5,0,0,2,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
13,0,0,0,0,0,23,0,0,9,0,0,0,0,0,0,0,35,45,0,0,0,0,0,0,0,0,0,0,17,0,23,21,0,1,3,1,0,0,14,35,14,0,0,21,3,2,19,5,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
21,0,0,0,0,0,34,0,0,10,1,1,0,0,0,0,0,78,105,0,0,0,0,0,0,0,0,0,0,19,0,46,45,0,1,14,0,0,0,35,43,33,0,12,22,2,2,21,14,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
4,0,0,0,0,0,7,0,0,3,0,0,0,0,0,0,0,8,9,0,0,0,0,0,0,0,0,0,0,7,0,7,6,0,1,0,0,0,0,1,10,1,0,0,9,1,1,8,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
1,0,0,0,0,0,2,0,0,0,0,0,0,0,0,0,0,2,2,0,0,0,0,0,0,0,0,0,0,2,0,2,2,0,0,0,0,0,0,0,2,0,0,0,2,0,0,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
28,0,0,0,0,0,49,0,0,14,0,0,0,0,0,0,0,134,167,0,0,0,0,0,0,0,0,0,0,27,0,70,68,0,2,20,0,0,0,62,64,59,0,28,32,3,2,29,12,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,13
2,0,0,1,0,0,3,0,0,1,0,0,0,0,0,0,0,3,3,0,0,0,0,0,0,0,0,0,0,3,0,3,4,0,0,0,0,0,0,0,3,0,0,0,3,0,0,3,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
26,0,0,0,0,0,58,0,0,11,0,0,0,0,0,0,0,91,152,0,0,0,0,0,0,0,0,0,0,42,0,43,40,0,2,0,1,0,0,94,122,92,0,20,52,9,7,49,8,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,19
6,0,0,0,0,0,13,0,0,3,0,0,0,0,0,0,0,14,22,0,0,0,0,0,0,0,0,0,0,8,0,6,5,0,1,0,0,0,0,16,16,15,0,8,9,0,0,8,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
3,0,0,1,0,0,4,0,0,2,0,0,0,0,0,0,0,5,7,0,0,0,0,0,0,0,0,0,0,4,0,3,4,0,0,0,0,0,0,3,8,3,0,0,5,1,1,5,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
